,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
2256,2022-06-21 09:15:00+05:30,29.9,29.9,19.2,22.3,1548650,5633250,13.13,-82.19696969696973,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,645010.0,56.763999999999996,6483302.5,2.4,True,True,True,False,True,True,False,False,False,-600950.0,5601150.0,2022-06-21,23,35618950,35618950,1548650,23.0,0.0,False,False,False,138296287.49999997,600950.0
2257,2022-06-21 09:17:00+05:30,22.3,22.6,19.8,20.0,1151850,5849150,12.35,-87.54448398576517,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,683385.0,55.895,6438327.5,1.69,True,False,True,False,True,True,False,False,False,215900.0,5817050.0,2022-06-21,20,23037000,58655950,2700500,21.72,-1.72,False,False,False,124001980.00000001,215900.0
2258,2022-06-21 09:19:00+05:30,20.05,21.2,19.1,20.1,906600,6040950,12.59,-89.22800718132859,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,706807.5,55.053000000000004,6402942.5,1.28,True,False,True,False,True,True,False,True,True,191800.0,6008850.0,2022-06-21,20,18132000,76787950,3607100,21.29,-1.29,False,True,False,121725142.49999999,191800.0
2259,2022-06-21 09:21:00+05:30,20.35,21.45,19.8,21.45,1032750,6040950,16.0,-88.21428571428575,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,739172.5,54.218999999999994,6368387.5,1.4,True,False,True,False,True,True,False,True,True,0.0,6008850.0,2022-06-21,20,20655000,97442950,4639850,21.0,-1.0,True,True,False,124594593.75,0.0
2260,2022-06-21 09:23:00+05:30,21.45,21.5,20.15,21.2,677250,6081050,15.88,-87.93418647166365,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,736937.5,53.361999999999995,6335587.5,0.92,True,False,False,False,True,True,False,False,False,40100.0,6048950.0,2022-06-21,20,13545000,110987950,5317100,20.87,-0.87,True,True,False,126637866.25,40100.0
2261,2022-06-21 09:25:00+05:30,21.3,21.8,20.5,21.55,679700,6214100,16.85,-83.0866807610994,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,734082.5,52.479,6309440.0,0.93,True,False,False,False,True,True,False,True,True,133050.0,6182000.0,2022-06-21,21,14273700,125261650,5996800,20.89,0.11,True,True,False,131428214.99999999,133050.0
2262,2022-06-21 09:27:00+05:30,21.7,22.7,21.5,22.25,760650,6214100,18.86,-79.29606625258799,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,735207.5,51.652,6287722.5,1.03,True,False,True,False,True,True,False,True,True,0.0,6182000.0,2022-06-21,22,16734300,141995950,6757450,21.01,0.99,True,True,False,137331610.0,0.0
2263,2022-06-21 09:29:00+05:30,22.1,23.85,21.95,23.5,681650,6344900,22.47,-69.1358024691358,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,749142.5,50.784,6273865.0,0.91,False,False,True,False,True,True,False,True,True,130800.0,6312800.0,2022-06-21,23,15677950,157673900,7439100,21.2,1.8,True,True,False,145298210.0,130800.0
2264,2022-06-21 09:31:00+05:30,23.65,23.85,22.1,22.1,666000,6467100,21.33,-2.5974025974025885,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,745932.5,49.927,6266117.5,0.89,False,False,False,False,True,True,False,False,False,122200.0,6435000.0,2022-06-21,22,14652000,172325900,8105100,21.26,0.74,True,False,False,148581622.5,122200.0
2265,2022-06-21 09:33:00+05:30,22.0,22.0,19.35,19.75,1006400,6467100,19.53,-3.225806451612903,NIFTY2262315000PE,PE,15000.0,2022-06-23,50,NIFTY,770992.5,49.155,6260627.5,1.31,False,False,True,False,True,True,False,False,False,0.0,6435000.0,2022-06-21,20,20128000,192453900,9111500,21.12,-1.12,False,False,False,133707292.5,0.0
