,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
900,2022-06-28 09:15:00+05:30,436.0,486.45,401.8,443.2,219150,136825,30.8,-38.65303983228514,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,28502.5,640.041,122253.75,7.69,False,False,True,False,True,False,False,False,True,16075.0,135775.0,2022-06-28,443,97083450,97083450,219150,443.0,0.0,True,False,False,60767403.125,16075.0
901,2022-06-28 09:20:00+05:30,439.6,442.8,414.35,434.3,146875,162850,30.19,-51.411960132890364,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,35402.5,634.633,124302.5,4.15,False,False,True,False,True,False,False,False,False,26025.0,161800.0,2022-06-28,430,63156250,160239700,366025,437.78,-7.78,False,False,False,69793438.75,26025.0
902,2022-06-28 09:25:00+05:30,431.0,446.85,413.15,423.1,99300,174700,29.4,-43.768023069529,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,39922.5,629.321,127038.75,2.49,False,False,True,False,True,False,False,False,False,11850.0,173650.0,2022-06-28,427,42401100,202640800,465325,435.48,-8.48,False,False,False,75121000.0,11850.0
903,2022-06-28 09:30:00+05:30,423.95,467.65,418.5,467.55,217675,191800,36.51,-34.12046031983262,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,49776.25,626.085,130283.75,4.37,False,False,True,False,True,False,False,True,True,17100.0,190750.0,2022-06-28,451,98171425,300812225,683000,440.43,10.57,True,True,False,84981785.0,17100.0
904,2022-06-28 09:35:00+05:30,469.0,485.45,453.2,453.2,231125,217725,35.27,-52.426564495529995,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,60946.25,622.536,134802.5,3.79,False,False,True,False,True,False,False,False,False,25925.0,216675.0,2022-06-28,463,107010875,407823100,914125,446.13,16.87,True,True,False,102183785.625,25925.0
905,2022-06-28 09:40:00+05:30,450.25,459.9,430.2,444.9,128175,241725,34.55,-69.49734088179792,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,66642.5,618.893,140532.5,1.92,False,False,True,False,True,False,False,False,False,24000.0,240675.0,2022-06-28,445,57037875,464860975,1042300,446.0,-1.0,False,False,False,107579711.24999999,24000.0
906,2022-06-28 09:45:00+05:30,446.85,450.05,423.5,433.05,90600,249475,33.48,-69.1587163920208,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,70568.75,615.234,146665.0,1.28,False,False,True,False,True,False,False,False,False,7750.0,248425.0,2022-06-28,435,39411000,504271975,1132900,445.12,-10.12,False,False,False,108964443.125,7750.0
907,2022-06-28 09:50:00+05:30,429.6,439.8,392.4,394.05,155425,255075,30.19,-70.58239576439445,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,77355.0,610.6709999999999,153082.5,2.01,False,False,True,False,True,False,False,False,False,5600.0,254025.0,2022-06-28,408,63413400,567685375,1288325,440.64,-32.64,False,False,False,106136707.5,5600.0
908,2022-06-28 09:55:00+05:30,393.15,404.0,378.6,380.95,163050,292625,29.15,-41.18425405226597,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,83600.0,605.956,161466.25,1.95,False,False,True,False,True,False,False,False,False,37550.0,291575.0,2022-06-28,387,63100350,630785725,1451375,434.61,-47.61,False,False,False,114504162.5,37550.0
909,2022-06-28 10:00:00+05:30,378.85,401.35,373.3,400.75,186025,302425,32.91,-20.703486578216605,BANKNIFTY22JUN33400CE,CE,33400.0,2022-06-30,25,BANKNIFTY,92037.5,601.331,170623.75,2.02,False,False,True,False,True,False,False,True,True,9800.0,301375.0,2022-06-28,391,72735775,703521500,1637400,429.66,-38.66,False,True,False,117136763.12500001,9800.0
