,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
65,2022-06-21 09:15:00+05:30,340.55,373.45,324.1,355.7,53150,77250,54.77,39.54017755520143,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,188777.5,417.85900000000004,121675.0,0.28,True,True,False,False,True,False,False,True,True,-15300.0,77150.0,2022-06-21,351,18655650,18655650,53150,351.0,0.0,True,False,False,26942868.75,15300.0
66,2022-06-21 09:45:00+05:30,355.7,446.3,355.7,435.8,23450,77300,63.19,51.84043517679056,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,182467.5,412.959,120842.5,0.13,True,False,False,True,True,False,True,True,True,50.0,77200.0,2022-06-21,412,9661400,28317050,76600,369.67,42.33,True,True,False,30997300.0,50.0
67,2022-06-21 10:15:00+05:30,435.8,466.0,425.0,451.3,10200,77800,64.57,70.72892938496582,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,178615.0,408.369,119805.0,0.06,True,False,False,True,True,False,True,True,True,500.0,77700.0,2022-06-21,447,4559400,32876450,86800,378.76,68.24,True,True,False,34659900.0,500.0
68,2022-06-21 10:45:00+05:30,451.3,465.45,436.9,465.45,5300,77750,65.82,83.24707686409812,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,171595.0,404.06199999999995,118802.5,0.03,True,True,False,True,True,False,True,True,True,-50.0,77650.0,2022-06-21,455,2411500,35287950,92100,383.15,71.85,True,True,False,35078856.25,50.0
69,2022-06-21 11:15:00+05:30,465.45,485.3,439.65,475.15,5600,77950,66.69,84.32462479155085,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,159802.5,399.94899999999996,117690.0,0.04,True,False,False,True,True,False,True,True,True,200.0,77850.0,2022-06-21,466,2609600,37897550,97700,387.9,78.1,True,True,False,36049926.25,200.0
70,2022-06-21 11:45:00+05:30,475.15,483.0,453.5,465.4,2800,78400,64.9,92.45502031340685,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,146617.5,395.64099999999996,117870.0,0.02,True,False,False,True,True,False,True,False,False,450.0,78300.0,2022-06-21,467,1307600,39205150,100500,390.1,76.9,True,False,False,36710800.0,450.0
71,2022-06-21 12:15:00+05:30,465.4,485.4,458.75,485.4,4950,79450,66.87,91.59844894442051,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,142117.5,391.733,118397.5,0.03,True,False,False,True,True,False,True,True,True,1050.0,79350.0,2022-06-21,476,2356200,41561350,105450,394.13,81.87,True,True,False,37506358.75,1050.0
72,2022-06-21 12:45:00+05:30,488.95,540.0,485.4,540.0,7100,79150,71.55,93.02575107296137,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,122082.5,388.91700000000003,114457.5,0.06,True,True,False,True,True,False,True,True,True,-300.0,79050.0,2022-06-21,521,3699100,45260450,112550,402.14,118.86,True,True,False,40580205.0,300.0
73,2022-06-21 13:15:00+05:30,540.0,558.0,528.4,549.1,6750,78950,72.25,90.84077031470173,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,97385.0,386.283,110990.0,0.07,True,True,False,True,True,False,True,True,True,-200.0,78850.0,2022-06-21,545,3678750,48939200,119300,410.22,134.78,True,True,False,42885640.0,200.0
74,2022-06-21 13:45:00+05:30,549.1,566.05,525.0,554.0,6400,78650,72.65,85.83877995642702,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,87337.5,383.74699999999996,107477.5,0.07,True,True,False,True,True,False,True,True,True,-300.0,78550.0,2022-06-21,548,3507200,52446400,125700,417.23,130.77,True,False,False,42905541.25,300.0
75,2022-06-21 14:15:00+05:30,554.0,565.7,511.25,515.75,3950,78800,64.93,40.16827672172016,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,80380.0,381.79,103812.5,0.05,True,False,False,True,True,False,False,False,False,150.0,78700.0,2022-06-21,530,2093500,54539900,129650,420.67,109.33,True,False,False,42431830.0,150.0
76,2022-06-21 14:45:00+05:30,515.75,528.85,487.75,497.3,10350,78000,61.53,19.33232169954478,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,74925.0,377.204,100105.0,0.14,True,True,False,True,True,False,False,False,False,-800.0,77900.0,2022-06-21,504,5216400,59756300,140000,426.83,77.17,True,False,False,39647400.0,800.0
77,2022-06-21 15:15:00+05:30,498.8,518.55,485.0,488.25,3450,77100,59.87,7.982937233394284,NIFTY2262315150CE,CE,15150.0,2022-06-23,50,NIFTY,69462.5,372.43699999999995,96775.0,0.05,True,True,False,True,True,False,False,False,False,-900.0,77000.0,2022-06-21,497,1714650,61470950,143450,428.52,68.48,True,False,False,38686852.5,900.0
