instrument_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
10852354,NIFTY2262315000CE,NIFTY,2022-06-23,15000.0,50,CE
10852610,NIFTY2262315000PE,NIFTY,2022-06-23,15000.0,50,PE
10852866,NIFTY2262315050CE,NIFTY,2022-06-23,15050.0,50,CE
10853122,NIFTY2262315050PE,NIFTY,2022-06-23,15050.0,50,PE
10854402,NIFTY2262315100CE,NIFTY,2022-06-23,15100.0,50,CE
10854658,NIFTY2262315100PE,NIFTY,2022-06-23,15100.0,50,PE
10854914,NIFTY2262315150CE,NIFTY,2022-06-23,15150.0,50,CE
10855170,NIFTY2262315150PE,NIFTY,2022-06-23,15150.0,50,PE
9878274,NIFTY2262315200CE,NIFTY,2022-06-23,15200.0,50,CE
9878530,NIFTY2262315200PE,NIFTY,2022-06-23,15200.0,50,PE
9878786,NIFTY2262315250CE,NIFTY,2022-06-23,15250.0,50,CE
9879042,NIFTY2262315250PE,NIFTY,2022-06-23,15250.0,50,PE
9879298,NIFTY2262315300CE,NIFTY,2022-06-23,15300.0,50,CE
9879554,NIFTY2262315300PE,NIFTY,2022-06-23,15300.0,50,PE
9879810,NIFTY2262315350CE,NIFTY,2022-06-23,15350.0,50,CE
9880066,NIFTY2262315350PE,NIFTY,2022-06-23,15350.0,50,PE
9880322,NIFTY2262315400CE,NIFTY,2022-06-23,15400.0,50,CE
9880578,NIFTY2262315400PE,NIFTY,2022-06-23,15400.0,50,PE
11479810,NIFTY2262315450CE,NIFTY,2022-06-23,15450.0,50,CE
11603714,NIFTY2262315450PE,NIFTY,2022-06-23,15450.0,50,PE
11603970,NIFTY2262315500CE,NIFTY,2022-06-23,15500.0,50,CE
11606018,NIFTY2262315500PE,NIFTY,2022-06-23,15500.0,50,PE
11606274,NIFTY2262315550CE,NIFTY,2022-06-23,15550.0,50,CE
11606530,NIFTY2262315550PE,NIFTY,2022-06-23,15550.0,50,PE
11606786,NIFTY2262315600CE,NIFTY,2022-06-23,15600.0,50,CE
11607042,NIFTY2262315600PE,NIFTY,2022-06-23,15600.0,50,PE
10013442,NIFTY2262315650CE,NIFTY,2022-06-23,15650.0,50,CE
10013698,NIFTY2262315650PE,NIFTY,2022-06-23,15650.0,50,PE
10017794,NIFTY2262315700CE,NIFTY,2022-06-23,15700.0,50,CE
10018050,NIFTY2262315700PE,NIFTY,2022-06-23,15700.0,50,PE
