,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
125,2022-06-20 09:15:00+05:30,52.0,55.95,31.25,32.4,2140400,1254400,32.2,-35.69553805774279,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,733437.5,105.66,1123727.5,2.92,False,False,True,False,True,False,False,False,False,248150.0,1254300.0,2022-06-20,39,83475600,83475600,2140400,39.0,0.0,False,False,False,54691840.0,248150.0
126,2022-06-20 09:30:00+05:30,32.0,33.35,22.45,23.05,1671450,1373200,29.56,-43.81625441696112,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,784775.0,100.72300000000001,1138562.5,2.13,False,False,True,False,True,False,False,False,False,118800.0,1373100.0,2022-06-20,26,43457700,126933300,3811850,33.3,-7.3,False,False,False,38312280.0,118800.0
127,2022-06-20 09:45:00+05:30,22.95,30.2,22.2,28.0,1761450,1433750,32.7,-35.42600896860987,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,859527.5,96.28300000000002,1156530.0,2.05,False,False,True,False,True,False,False,True,True,60550.0,1433650.0,2022-06-20,26,45797700,172731000,5573300,30.99,-4.99,False,True,False,37564250.0,60550.0
128,2022-06-20 10:00:00+05:30,28.25,36.85,28.15,33.0,1627450,1546000,35.82,-18.847539015606245,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,910132.5,92.12200000000001,1180032.5,1.79,False,False,True,False,True,False,False,True,True,112250.0,1545900.0,2022-06-20,32,52078400,224809400,7200750,31.22,0.78,True,True,False,50245000.0,112250.0
129,2022-06-20 10:15:00+05:30,32.75,37.9,27.25,28.6,981900,1560700,34.31,-40.639269406392685,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,911960.0,88.074,1203855.0,1.08,False,False,True,False,True,False,False,False,False,14700.0,1560600.0,2022-06-20,31,30438900,255248300,8182650,31.19,-0.19,False,False,False,50839802.50000001,14700.0
130,2022-06-20 10:30:00+05:30,28.6,32.8,26.15,32.1,1189050,1503700,36.6,-50.87473757872637,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,938027.5,84.316,1224880.0,1.27,False,True,True,False,True,False,False,True,True,-57000.0,1503600.0,2022-06-20,30,35671500,290919800,9371700,31.04,-1.04,True,False,False,44321557.5,57000.0
131,2022-06-20 10:45:00+05:30,32.1,32.35,26.35,27.9,643800,1540300,35.02,-36.297640653357526,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,951467.5,80.297,1246795.0,0.68,False,False,True,False,True,False,False,False,False,36600.0,1540200.0,2022-06-20,28,18026400,308946200,10015500,30.85,-2.85,False,False,False,45207805.0,36600.0
132,2022-06-20 11:00:00+05:30,27.55,31.3,26.4,29.5,558800,1565400,36.15,-42.77566539923954,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,947955.0,76.602,1268395.0,0.59,False,False,False,False,True,False,False,True,True,25100.0,1565300.0,2022-06-20,29,16205200,325151400,10574300,30.75,-1.75,False,True,False,45161790.0,25100.0
133,2022-06-20 11:15:00+05:30,29.5,33.65,27.25,30.55,718500,1558450,36.92,-5.433186490455207,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,947867.5,73.59299999999999,1288590.0,0.76,False,True,False,False,True,False,False,True,True,-6950.0,1558350.0,2022-06-20,30,21555000,346706400,11292800,30.7,-0.7,False,True,False,47454802.5,6950.0
134,2022-06-20 11:30:00+05:30,30.65,33.3,28.75,33.25,545650,1581050,38.97,37.226277372262764,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,925987.5,70.685,1310262.5,0.59,False,False,False,False,True,False,False,True,True,22600.0,1580950.0,2022-06-20,31,16915150,363621550,11838450,30.72,0.28,True,True,False,49052076.25,22600.0
135,2022-06-20 11:45:00+05:30,33.35,36.95,31.8,33.0,841300,1602800,38.84,22.02643171806167,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,946372.5,67.92399999999999,1332965.0,0.89,False,False,True,False,True,False,False,False,False,21750.0,1602700.0,2022-06-20,33,27762900,391384450,12679750,30.87,2.13,True,True,False,55096250.0,21750.0
136,2022-06-20 12:00:00+05:30,33.15,38.2,31.35,32.25,926000,1734500,38.44,-4.0650406504065035,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,973385.0,65.40899999999999,1361447.5,0.95,False,False,True,False,True,False,False,False,False,131700.0,1734400.0,2022-06-20,33,30558000,421942450,13605750,31.01,1.99,True,False,False,60317237.50000001,131700.0
137,2022-06-20 12:15:00+05:30,32.45,40.05,32.25,37.2,906900,1754550,42.64,45.263157894736835,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,1001240.0,63.065,1391090.0,0.91,False,False,True,False,True,False,False,True,True,20050.0,1754450.0,2022-06-20,36,32648400,454590850,14512650,31.32,4.68,True,True,False,63426982.5,20050.0
138,2022-06-20 12:30:00+05:30,37.3,41.2,33.0,37.5,864400,1789550,42.9,34.1772151898734,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,1025322.5,60.834,1422945.0,0.84,False,False,True,False,True,False,False,True,True,35000.0,1789450.0,2022-06-20,37,31982800,486573650,15377050,31.64,5.36,True,True,False,66392305.0,35000.0
139,2022-06-20 12:45:00+05:30,37.6,37.85,29.3,32.95,934950,1838400,40.0,31.269349845201265,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,1031415.0,58.611,1457497.5,0.91,False,False,True,False,True,False,False,False,False,48850.0,1838300.0,2022-06-20,33,30853350,517427000,16312000,31.72,1.28,True,False,False,61724280.00000001,48850.0
140,2022-06-20 13:00:00+05:30,33.4,33.8,27.35,29.85,598550,1909500,38.11,1.9830028328611982,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,1024302.5,56.63000000000001,1494827.5,0.58,False,False,False,False,True,False,False,False,False,71100.0,1909400.0,2022-06-20,30,17956500,535383500,16910550,31.66,-1.66,False,False,False,58382962.5,71100.0
141,2022-06-20 13:15:00+05:30,29.85,30.2,23.15,26.1,1198300,1895100,35.9,-21.867321867321866,NIFTY2262315650CE,CE,15650.0,2022-06-23,50,NIFTY,1053972.5,55.043,1532057.5,1.14,False,True,True,False,True,False,False,False,False,-14400.0,1895000.0,2022-06-20,26,31155800,566539300,18108850,31.29,-5.29,False,False,False,50551792.49999999,14400.0
