,date,open,high,low,close,volume,oi,rsi,CMO,tradingsymbol,instrument_type,strike,expiry,lot_size,name,Volume_20_sma,close 50 sma,OI_20_sma,Volume x times,OI_below_20_sma,OI_trend,volume_trend,price>50sma,volume_qualify,rsi_signal,CMO_signal,rsi_trend,greencandle,OI_change,OI_change_cum,new_date,typical price,v*p,cum v*p,cum v,vwap,price_minus_vwap,price_vs_vwap,price_away_vwap,qualify,OI_Value,OI_change_abs
2539,2022-06-22 09:15:00+05:30,555.0,555.0,339.25,468.45,31100,148200,15.17,-76.2560777957861,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,9786.25,740.6489999999999,198528.75,3.18,True,True,True,False,False,True,False,False,False,-36625.0,148200.0,2022-06-22,454,14119400,14119400,31100,454.0,0.0,True,False,False,66263925.0,36625.0
2540,2022-06-22 09:16:00+05:30,463.25,471.45,450.0,453.3,14125,148200,14.45,-76.95181907571292,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10205.0,730.705,194523.75,1.38,True,False,True,False,True,True,False,False,False,0.0,148200.0,2022-06-22,458,6469250,20588650,45225,455.25,2.75,False,True,False,68279445.0,0.0
2541,2022-06-22 09:17:00+05:30,453.5,464.4,445.3,454.9,13050,154900,14.91,-83.33333333333334,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10432.5,721.1669999999999,191336.25,1.25,True,False,True,False,True,True,False,True,True,6700.0,154900.0,2022-06-22,454,5924700,26513350,58275,454.97,-0.97,False,False,False,70456265.0,6700.0
2542,2022-06-22 09:18:00+05:30,451.3,469.95,443.7,461.3,15150,154900,16.83,-79.10031847133759,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10618.75,712.852,188148.75,1.43,True,False,True,False,True,True,False,True,True,0.0,154900.0,2022-06-22,458,6938700,33452050,73425,455.59,2.41,True,True,False,70762192.5,0.0
2543,2022-06-22 09:19:00+05:30,455.0,469.35,451.5,462.9,9625,154900,17.33,-79.81614708233418,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10551.25,705.082,184961.25,0.91,True,False,False,False,True,True,False,True,True,0.0,154900.0,2022-06-22,461,4437125,37889175,83050,456.22,4.78,True,True,False,71319832.5,0.0
2544,2022-06-22 09:20:00+05:30,465.35,467.15,445.8,456.9,15700,159725,16.92,-79.80807676929233,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10540.0,697.4279999999999,182462.5,1.49,True,False,False,False,True,True,False,False,False,4825.0,159725.0,2022-06-22,456,7159200,45048375,98750,456.19,-0.19,True,False,False,72910469.375,4825.0
2545,2022-06-22 09:21:00+05:30,458.05,471.2,454.0,454.4,15175,159725,16.74,-86.3524590163935,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,10977.5,690.684,179963.75,1.38,True,False,True,False,True,True,False,False,False,0.0,159725.0,2022-06-22,459,6965325,52013700,113925,456.56,2.44,False,True,False,73888785.0,0.0
2546,2022-06-22 09:22:00+05:30,451.9,458.3,430.0,432.35,18925,159725,15.22,-92.58687258687262,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,11547.5,683.3159999999999,177465.0,1.64,True,False,True,False,True,True,False,False,False,0.0,159725.0,2022-06-22,440,8327000,60340700,132850,454.2,-14.2,False,False,False,70941858.75,0.0
2547,2022-06-22 09:23:00+05:30,432.15,433.25,414.35,423.8,16200,165375,14.66,-69.92952231793272,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,11862.5,675.0759999999999,175541.25,1.37,True,False,True,False,True,True,False,False,False,5650.0,165375.0,2022-06-22,423,6852600,67193300,149050,450.81,-27.81,False,False,False,70085925.0,5650.0
2548,2022-06-22 09:24:00+05:30,424.45,424.45,406.4,408.45,17225,165375,13.69,-70.02341920374717,BANKNIFTY2262332600CE,CE,32600.0,2022-06-23,25,BANKNIFTY,12142.5,666.7479999999999,173617.5,1.42,True,False,True,False,True,True,False,False,False,0.0,165375.0,2022-06-22,413,7113925,74307225,166275,446.89,-33.89,False,False,False,68700909.37499999,0.0
