instrument_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
10473730,NIFTY2270715400CE,NIFTY,2022-07-07,15400.0,50,CE
10474242,NIFTY2270715400PE,NIFTY,2022-07-07,15400.0,50,PE
10474754,NIFTY2270715450CE,NIFTY,2022-07-07,15450.0,50,CE
10475010,NIFTY2270715450PE,NIFTY,2022-07-07,15450.0,50,PE
10475522,NIFTY2270715500CE,NIFTY,2022-07-07,15500.0,50,CE
10475778,NIFTY2270715500PE,NIFTY,2022-07-07,15500.0,50,PE
10477570,NIFTY2270715550CE,NIFTY,2022-07-07,15550.0,50,CE
10477826,NIFTY2270715550PE,NIFTY,2022-07-07,15550.0,50,PE
10478082,NIFTY2270715600CE,NIFTY,2022-07-07,15600.0,50,CE
10478338,NIFTY2270715600PE,NIFTY,2022-07-07,15600.0,50,PE
10478594,NIFTY2270715650CE,NIFTY,2022-07-07,15650.0,50,CE
10478850,NIFTY2270715650PE,NIFTY,2022-07-07,15650.0,50,PE
10479106,NIFTY2270715700CE,NIFTY,2022-07-07,15700.0,50,CE
10480898,NIFTY2270715700PE,NIFTY,2022-07-07,15700.0,50,PE
10481154,NIFTY2270715750CE,NIFTY,2022-07-07,15750.0,50,CE
10481410,NIFTY2270715750PE,NIFTY,2022-07-07,15750.0,50,PE
10481666,NIFTY2270715800CE,NIFTY,2022-07-07,15800.0,50,CE
10482178,NIFTY2270715800PE,NIFTY,2022-07-07,15800.0,50,PE
10482434,NIFTY2270715850CE,NIFTY,2022-07-07,15850.0,50,CE
10482690,NIFTY2270715850PE,NIFTY,2022-07-07,15850.0,50,PE
10482946,NIFTY2270715900CE,NIFTY,2022-07-07,15900.0,50,CE
10483202,NIFTY2270715900PE,NIFTY,2022-07-07,15900.0,50,PE
10483458,NIFTY2270715950CE,NIFTY,2022-07-07,15950.0,50,CE
10483714,NIFTY2270715950PE,NIFTY,2022-07-07,15950.0,50,PE
10484994,NIFTY2270716000CE,NIFTY,2022-07-07,16000.0,50,CE
10485250,NIFTY2270716000PE,NIFTY,2022-07-07,16000.0,50,PE
10415618,BANKNIFTY2270733100CE,BANKNIFTY,2022-07-07,33100.0,25,CE
10415874,BANKNIFTY2270733100PE,BANKNIFTY,2022-07-07,33100.0,25,PE
10416130,BANKNIFTY2270733200CE,BANKNIFTY,2022-07-07,33200.0,25,CE
10416386,BANKNIFTY2270733200PE,BANKNIFTY,2022-07-07,33200.0,25,PE
10423810,BANKNIFTY2270733300CE,BANKNIFTY,2022-07-07,33300.0,25,CE
10424066,BANKNIFTY2270733300PE,BANKNIFTY,2022-07-07,33300.0,25,PE
10424322,BANKNIFTY2270733400CE,BANKNIFTY,2022-07-07,33400.0,25,CE
10424578,BANKNIFTY2270733400PE,BANKNIFTY,2022-07-07,33400.0,25,PE
10425090,BANKNIFTY2270733500CE,BANKNIFTY,2022-07-07,33500.0,25,CE
10425602,BANKNIFTY2270733500PE,BANKNIFTY,2022-07-07,33500.0,25,PE
10426114,BANKNIFTY2270733600CE,BANKNIFTY,2022-07-07,33600.0,25,CE
10426370,BANKNIFTY2270733600PE,BANKNIFTY,2022-07-07,33600.0,25,PE
10426626,BANKNIFTY2270733700CE,BANKNIFTY,2022-07-07,33700.0,25,CE
10427394,BANKNIFTY2270733700PE,BANKNIFTY,2022-07-07,33700.0,25,PE
10427906,BANKNIFTY2270733800CE,BANKNIFTY,2022-07-07,33800.0,25,CE
10428162,BANKNIFTY2270733800PE,BANKNIFTY,2022-07-07,33800.0,25,PE
10428418,BANKNIFTY2270733900CE,BANKNIFTY,2022-07-07,33900.0,25,CE
10428674,BANKNIFTY2270733900PE,BANKNIFTY,2022-07-07,33900.0,25,PE
10430722,BANKNIFTY2270734000CE,BANKNIFTY,2022-07-07,34000.0,25,CE
10430978,BANKNIFTY2270734000PE,BANKNIFTY,2022-07-07,34000.0,25,PE
10431490,BANKNIFTY2270734100CE,BANKNIFTY,2022-07-07,34100.0,25,CE
10431746,BANKNIFTY2270734100PE,BANKNIFTY,2022-07-07,34100.0,25,PE
256265,50NIFTY,50NIFTY,,,0,Index
260105,BNIFTY,BNIFTY,,,0,Index
12477442,50NIFTYFUT,50NIFTYFUT,,,0,Index
12476930,BNIFTYFUT,BNIFTYFUT,,,0,Index
264969,VIX,VIX,,,0,Index
